x	y	avg.rank	avg.ort	ecorr
GU.3349_<<_GU.2750	GU.3349	GU.2750	0.837837837837838	1	-0.385495539721941
GU.1771_<<_GU.85	GU.1771	GU.85	0.840236686390533	0	0.297559517855952
GU.178_<<_GU.905	GU.178	GU.905	0.842342342342342	1	0.385077023107703
GU.1771_<<_GU.267	GU.1771	GU.267	0.843195266272189	0	0.297559517855952
GU.1771_<<_GU.1795	GU.1771	GU.1795	0.846153846153846	0	0.297559517855952
GU.1771_<<_GU.928	GU.1771	GU.928	0.849112426035503	0	0.297559517855952
GU.2750_<<_GU.6266	GU.2750	GU.6266	0.851351351351351	-1	0.368914380728573
GU.2508_<<_GU.973	GU.2508	GU.973	0.85207100591716	0	-0.230283093235919
GU.178_<<_GU.699	GU.178	GU.699	0.855029585798817	0	-0.25
GU.178_<<_GU.2616	GU.178	GU.2616	0.857988165680473	0	-0.25
GU.178_<<_GU.805	GU.178	GU.805	0.86094674556213	0	-0.25
GU.92_<<_GU.1924	GU.92	GU.1924	0.863905325443787	0	-0.202288694969669
GU.124_<<_GU.95	GU.124	GU.95	0.869822485207101	0	-0.165710452999832
GU.124_<<_GU.328	GU.124	GU.328	0.872781065088757	0	-0.165710452999832
GU.124_<<_GU.249	GU.124	GU.249	0.875739644970414	0	-0.165710452999832
GU.185_<<_GU.860	GU.185	GU.860	0.878378378378378	1	-0.359024561106316
GU.400_<<_GU.699	GU.400	GU.699	0.878698224852071	0	-0.140028008402801
GU.400_<<_GU.2616	GU.400	GU.2616	0.881656804733728	0	-0.140028008402801
GU.860_<<_GU.921	GU.860	GU.921	0.882882882882883	1	-0.31578947368421
GU.400_<<_GU.805	GU.400	GU.805	0.884615384615385	0	-0.140028008402801
GU.860_<<_GU.124	GU.860	GU.124	0.887387387387387	1	-0.31578947368421
GU.1771_<<_GU.166	GU.1771	GU.166	0.887573964497041	0	-0.140028008402801
GU.1771_<<_GU.93	GU.1771	GU.93	0.890532544378698	0	-0.140028008402801
GU.1771_<<_GU.1722	GU.1771	GU.1722	0.893491124260355	0	-0.140028008402801
GU.1771_<<_GU.871	GU.1771	GU.871	0.896449704142012	0	-0.140028008402801
GU.1771_<<_GU.412	GU.1771	GU.412	0.899408284023669	0	-0.140028008402801
GU.2750_<<_GU.3831	GU.2750	GU.3831	0.900900900900901	-1	-0.280975743474508
GU.1771_<<_GU.757	GU.1771	GU.757	0.902366863905326	0	-0.140028008402801
GU.3831_<<_GU.871	GU.3831	GU.871	0.905325443786982	0	-0.102062072615966
GU.3831_<<_GU.412	GU.3831	GU.412	0.908284023668639	0	-0.102062072615966
GU.1020_<<_GU.6433	GU.1020	GU.6433	0.90990990990991	1	-0.212459146399699
GU.166_<<_GU.409	GU.166	GU.409	0.911242603550296	0	-0.0416666666666667
GU.166_<<_GU.85	GU.166	GU.85	0.914201183431953	0	-0.0416666666666667
GU.400_<<_GU.1924	GU.400	GU.1924	0.914414414414414	-1	-0.202288694969669
GU.166_<<_GU.267	GU.166	GU.267	0.91715976331361	0	-0.0416666666666667
GU.166_<<_GU.1795	GU.166	GU.1795	0.920118343195266	0	-0.0416666666666667
GU.166_<<_GU.928	GU.166	GU.928	0.923076923076923	0	-0.0416666666666667
GU.400_<<_GU.3831	GU.400	GU.3831	0.923423423423423	1	-0.128623938856882
GU.315_<<_GU.409	GU.315	GU.409	0.92603550295858	0	-0.0416666666666667
GU.2735_<<_GU.6433	GU.2735	GU.6433	0.927927927927928	-1	-0.127293769304329
GU.315_<<_GU.85	GU.315	GU.85	0.928994082840237	0	-0.0416666666666667
GU.315_<<_GU.267	GU.315	GU.267	0.931952662721893	0	-0.0416666666666667
